      x        P5        err
  -0.67900   0.32945   0.00000
  -0.67800   0.32759   0.00000
  -0.67700   0.32571   0.00000
  -0.67600   0.32382   0.00000
  -0.67500   0.32192   0.00000
  -0.67400   0.32000   0.00000
  -0.67300   0.31807   0.00000
  -0.67200   0.31612   0.00000
  -0.67100   0.31417   0.00000
  -0.67000   0.31220   0.00000
  -0.66900   0.31022   0.00000
  -0.66800   0.30823   0.00000
  -0.66700   0.30622   0.00000
  -0.66600   0.30421   0.00000
  -0.66500   0.30218   0.00000
  -0.66400   0.30014   0.00000
  -0.66300   0.29809   0.00000
  -0.66200   0.29603   0.00000
  -0.66100   0.29396   0.00000
  -0.66000   0.29188   0.00000
  -0.65900   0.28978   0.00000
  -0.65800   0.28768   0.00000
  -0.65700   0.28556   0.00000
  -0.65600   0.28344   0.00000
  -0.65500   0.28131   0.00000
  -0.65400   0.27916   0.00000
  -0.65300   0.27701   0.00000
  -0.65200   0.27484   0.00000
  -0.65100   0.27267   0.00000
  -0.65000   0.27049   0.00000
  -0.64900   0.26830   0.00000
  -0.64800   0.26610   0.00000
  -0.64700   0.26389   0.00000
  -0.64600   0.26167   0.00000
  -0.64500   0.25944   0.00000
  -0.64400   0.25721   0.00000
  -0.64300   0.25496   0.00000
  -0.64200   0.25271   0.00000
  -0.64100   0.25045   0.00000
  -0.64000   0.24819   0.00000
  -0.63900   0.24591   0.00000
  -0.63800   0.24363   0.00000
  -0.63700   0.24134   0.00000
  -0.63600   0.23904   0.00000
  -0.63500   0.23674   0.00000
  -0.63400   0.23443   0.00000
  -0.63300   0.23211   0.00000
  -0.63200   0.22979   0.00000
  -0.63100   0.22745   0.00000
  -0.63000   0.22512   0.00000
  -0.62900   0.22277   0.00000
  -0.62800   0.22042   0.00000
  -0.62700   0.21807   0.00000
  -0.62600   0.21570   0.00000
  -0.62500   0.21334   0.00000
  -0.62400   0.21096   0.00000
  -0.62300   0.20858   0.00000
  -0.62200   0.20620   0.00000
  -0.62100   0.20381   0.00000
  -0.62000   0.20141   0.00000
  -0.61900   0.19901   0.00000
  -0.61800   0.19661   0.00000
  -0.61700   0.19420   0.00000
  -0.61600   0.19179   0.00000
  -0.61500   0.18937   0.00000
  -0.61400   0.18695   0.00000
  -0.61300   0.18452   0.00000
  -0.61200   0.18209   0.00000
  -0.61100   0.17965   0.00000
  -0.61000   0.17721   0.00000
  -0.60900   0.17477   0.00000
  -0.60800   0.17232   0.00000
  -0.60700   0.16988   0.00000
  -0.60600   0.16742   0.00000
  -0.60500   0.16497   0.00000
  -0.60400   0.16251   0.00000
  -0.60300   0.16004   0.00000
  -0.60200   0.15758   0.00000
  -0.60100   0.15511   0.00000
  -0.60000   0.15264   0.00000
  -0.59900   0.15017   0.00000
  -0.59800   0.14769   0.00000
  -0.59700   0.14521   0.00000
  -0.59600   0.14273   0.00000
  -0.59500   0.14025   0.00000
  -0.59400   0.13777  -0.00000
  -0.59300   0.13528  -0.00000
  -0.59200   0.13279  -0.00000
  -0.59100   0.13030  -0.00000
  -0.59000   0.12781  -0.00000
  -0.58900   0.12532  -0.00000
  -0.58800   0.12283  -0.00000
  -0.58700   0.12033  -0.00000
  -0.58600   0.11784  -0.00000
  -0.58500   0.11534  -0.00000
  -0.58400   0.11284  -0.00000
  -0.58300   0.11035  -0.00000
  -0.58200   0.10785  -0.00000
  -0.58100   0.10535  -0.00000
  -0.58000   0.10285  -0.00000
  -0.57900   0.10035  -0.00000
  -0.57800   0.09785  -0.00000
  -0.57700   0.09535  -0.00000
  -0.57600   0.09285  -0.00000
  -0.57500   0.09035  -0.00000
  -0.57400   0.08785  -0.00000
  -0.57300   0.08535  -0.00000
  -0.57200   0.08285  -0.00000
  -0.57100   0.08035  -0.00000
  -0.57000   0.07786  -0.00000
  -0.56900   0.07536  -0.00000
  -0.56800   0.07286  -0.00000
  -0.56700   0.07037  -0.00000
  -0.56600   0.06788  -0.00000
  -0.56500   0.06538  -0.00000
  -0.56400   0.06289  -0.00000
  -0.56300   0.06040  -0.00000
  -0.56200   0.05791  -0.00000
  -0.56100   0.05543  -0.00000
  -0.56000   0.05294  -0.00000
  -0.55900   0.05046  -0.00000
  -0.55800   0.04797  -0.00000
  -0.55700   0.04549  -0.00000
  -0.55600   0.04302  -0.00000
  -0.55500   0.04054  -0.00000
  -0.55400   0.03807  -0.00000
  -0.55300   0.03560  -0.00000
  -0.55200   0.03313  -0.00000
  -0.55100   0.03066  -0.00000
  -0.55000   0.02820  -0.00000
  -0.54900   0.02573  -0.00000
  -0.54800   0.02328  -0.00000
  -0.54700   0.02082  -0.00000
  -0.54600   0.01837  -0.00000
  -0.54500   0.01592  -0.00000
  -0.54400   0.01347  -0.00000
  -0.54300   0.01103  -0.00000
  -0.54200   0.00859  -0.00000
  -0.54100   0.00615  -0.00000
  -0.54000   0.00372  -0.00000
  -0.53900   0.00129  -0.00000
  -0.53800  -0.00114  -0.00000
  -0.53700  -0.00356  -0.00000
  -0.53600  -0.00598  -0.00000
  -0.53500  -0.00839  -0.00000
  -0.53400  -0.01080  -0.00000
  -0.53300  -0.01321  -0.00000
  -0.53200  -0.01561  -0.00000
  -0.53100  -0.01801  -0.00000
  -0.53000  -0.02040  -0.00000
  -0.52900  -0.02279  -0.00000
  -0.52800  -0.02518  -0.00000
  -0.52700  -0.02756  -0.00000
  -0.52600  -0.02993  -0.00000
  -0.52500  -0.03231  -0.00000
  -0.52400  -0.03467  -0.00000
  -0.52300  -0.03703  -0.00000
  -0.52200  -0.03939  -0.00000
  -0.52100  -0.04174  -0.00000
  -0.52000  -0.04409  -0.00000
  -0.51900  -0.04643  -0.00000
  -0.51800  -0.04877  -0.00000
  -0.51700  -0.05110  -0.00000
  -0.51600  -0.05342  -0.00000
  -0.51500  -0.05574  -0.00000
  -0.51400  -0.05806  -0.00000
  -0.51300  -0.06037  -0.00000
  -0.51200  -0.06267  -0.00000
  -0.51100  -0.06497  -0.00000
  -0.51000  -0.06726  -0.00000
  -0.50900  -0.06955  -0.00000
  -0.50800  -0.07182  -0.00000
  -0.50700  -0.07410  -0.00000
  -0.50600  -0.07637  -0.00000
  -0.50500  -0.07863  -0.00000
  -0.50400  -0.08088  -0.00000
  -0.50300  -0.08313  -0.00000
  -0.50200  -0.08538  -0.00000
  -0.50100  -0.08761  -0.00000
  -0.50000  -0.08984  -0.00000
  -0.49900  -0.09206  -0.00000
  -0.49800  -0.09428  -0.00000
  -0.49700  -0.09649  -0.00000
  -0.49600  -0.09869  -0.00000
  -0.49500  -0.10089  -0.00000
  -0.49400  -0.10308  -0.00000
  -0.49300  -0.10526  -0.00000
  -0.49200  -0.10744  -0.00000
  -0.49100  -0.10961  -0.00000
  -0.49000  -0.11177  -0.00000
  -0.48900  -0.11392  -0.00000
  -0.48800  -0.11607  -0.00000
  -0.48700  -0.11821  -0.00000
  -0.48600  -0.12034  -0.00000
  -0.48500  -0.12247  -0.00000
  -0.48400  -0.12458  -0.00000
  -0.48300  -0.12669  -0.00000
  -0.48200  -0.12879  -0.00000
  -0.48100  -0.13089  -0.00000
  -0.48000  -0.13298  -0.00000
  -0.47900  -0.13505  -0.00000
  -0.47800  -0.13713  -0.00000
  -0.47700  -0.13919  -0.00000
  -0.47600  -0.14124  -0.00000
  -0.47500  -0.14329  -0.00000
  -0.47400  -0.14533  -0.00000
  -0.47300  -0.14736  -0.00000
  -0.47200  -0.14938  -0.00000
  -0.47100  -0.15140  -0.00000
  -0.47000  -0.15341  -0.00000
  -0.46900  -0.15540  -0.00000
  -0.46800  -0.15739  -0.00000
  -0.46700  -0.15937  -0.00000
  -0.46600  -0.16135  -0.00000
  -0.46500  -0.16331  -0.00000
  -0.46400  -0.16527  -0.00000
  -0.46300  -0.16721  -0.00000
  -0.46200  -0.16915  -0.00000
  -0.46100  -0.17108  -0.00000
  -0.46000  -0.17300  -0.00000
